seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
4,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
4,oea_anchored,1,0.004533,-2.2253,0.8625,0.1125,0.1724
4,oea_anchored,2,0.012096,-2.4022,0.9125,0.1125,0.1544
4,oea_anchored,3,0.012096,-2.4294,0.1375,0.05,0.1536
4,oea_anchored,4,0.025051,-2.3584,0.775,0.1,0.1434
4,oea_anchored,5,0.034226,-2.3576,0.85,0.0875,0.1426
4,oea_anchored,6,0.043085,-2.2501,0.7875,0.075,0.1434
4,oea_anchored,7,0.051645,-2.0991,0.8375,0.075,0.145
4,oea_anchored,8,0.059923,-2.0096,0.825,0.075,0.1434
4,oea_anchored,9,0.067934,-1.8731,0.9,0.075,0.1411
4,oea_anchored,10,0.075693,-1.6965,0.4125,0.0875,0.1395
4,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
4,oea_miscalibrated,1,0.037122,-2.0129,0.4875,0.0,0.1544
4,oea_miscalibrated,2,0.075652,-2.1659,0.8625,0.0375,0.1246
4,oea_miscalibrated,3,0.095932,-2.0976,0.8875,0.0625,0.094
4,oea_miscalibrated,4,0.111623,-2.2013,0.7875,0.0375,0.0635
4,oea_miscalibrated,5,0.158725,-2.4294,0.7375,0.1125,0.0541
4,oea_miscalibrated,6,0.224292,-2.2335,0.825,0.0625,0.0564
4,oea_miscalibrated,7,0.233451,-2.2046,0.05,0.025,0.0572
4,oea_miscalibrated,8,0.266059,-2.1011,0.0625,0.0375,0.0556
4,oea_miscalibrated,9,0.333807,-1.8259,0.5875,0.0875,0.0572
4,oea_miscalibrated,10,0.34323,-1.8051,0.075,0.05,0.0556
5,control,0,0.0,-1.5864,0.6875,0.025,0.1755
5,control,1,0.039432,-1.925,0.8625,0.0625,0.1544
5,control,2,0.072909,-1.8897,0.7875,0.0625,0.1238
5,control,3,0.097775,-1.5448,0.85,0.05,0.0909
5,control,4,0.112319,-1.4579,0.8875,0.0875,0.0556
5,control,5,0.154538,-1.7367,0.6875,0.05,0.0431
5,control,6,0.219006,-1.7159,0.85,0.0875,0.0447
5,control,7,0.28918,-1.631,0.8,0.125,0.0502
5,control,8,0.354159,-1.5695,0.8625,0.0375,0.0478
5,control,9,0.397332,-1.6211,0.8875,0.1125,0.0455
5,control,10,0.399805,-1.4694,0.8,0.025,0.0462
5,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
5,oea_rag_only,1,0.041573,-1.9077,0.775,0.0625,0.1536
5,oea_rag_only,2,0.081116,-1.793,0.7625,0.1125,0.1223
5,oea_rag_only,3,0.105594,-1.4973,0.075,0.025,0.0948
5,oea_rag_only,4,0.123806,-1.3898,0.675,0.075,0.065
5,oea_rag_only,5,0.181927,-1.4935,0.6,0.0375,0.0455
5,oea_rag_only,6,0.248961,-1.4505,0.6625,0.075,0.0462
5,oea_rag_only,7,0.286766,-1.5266,0.125,0.0125,0.0439
5,oea_rag_only,8,0.382295,-1.1295,0.375,0.0625,0.0329
5,oea_rag_only,9,0.467658,-0.7494,0.3125,0.075,0.0219
5,oea_rag_only,10,0.499971,-0.4647,0.325,0.05,0.0149
5,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
5,oea_anchored,1,0.004943,-2.3475,0.9625,0.0625,0.1677
5,oea_anchored,2,0.015691,-2.7238,0.9625,0.1125,0.1513
5,oea_anchored,3,0.022594,-3.1348,0.9625,0.0875,0.1356
5,oea_anchored,4,0.029289,-3.09,0.9625,0.1,0.1136
5,oea_anchored,5,0.035983,-3.2113,0.7875,0.0625,0.0839
5,oea_anchored,6,0.042115,-2.8769,0.925,0.1,0.0682
5,oea_anchored,7,0.071871,-2.2312,0.875,0.0875,0.0737
5,oea_anchored,8,0.141449,-1.253,0.75,0.0875,0.0745
5,oea_anchored,9,0.210848,-1.1981,0.75,0.0875,0.0627
5,oea_anchored,10,0.283417,-0.5386,0.75,0.0875,0.0353
5,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
5,oea_miscalibrated,1,0.039371,-1.9287,0.7125,0.1,0.1536
5,oea_miscalibrated,2,0.0686,-1.9586,0.775,0.1125,0.1254
5,oea_miscalibrated,3,0.096014,-1.7694,0.8625,0.025,0.0987
5,oea_miscalibrated,4,0.115567,-1.7483,0.8875,0.075,0.0658
5,oea_miscalibrated,5,0.159998,-2.1661,0.3875,0.0125,0.0525
5,oea_miscalibrated,6,0.2275,-2.0865,0.7125,0.1,0.0502
5,oea_miscalibrated,7,0.29559,-1.9255,0.8125,0.125,0.0486
5,oea_miscalibrated,8,0.365472,-1.8498,0.8,0.075,0.0486
5,oea_miscalibrated,9,0.41248,-1.5503,0.6625,0.075,0.0462
5,oea_miscalibrated,10,0.418468,-1.5942,0.55,0.0375,0.0502
6,control,0,0.0,-1.5864,0.6875,0.025,0.1755
6,control,1,0.034743,-2.0036,0.825,0.05,0.1544
6,control,2,0.062115,-2.1667,0.8375,0.1,0.1293
6,control,3,0.086237,-1.9826,0.8375,0.05,0.1019
6,control,4,0.106941,-2.0481,0.8125,0.0875,0.0635
6,control,5,0.154214,-2.1357,0.85,0.05,0.0541
6,control,6,0.220498,-1.891,0.8375,0.0875,0.0517
6,control,7,0.287105,-1.7453,0.9,0.1375,0.0517
6,control,8,0.337936,-1.7462,0.875,0.05,0.0564
6,control,9,0.376062,-1.7188,0.9125,0.1375,0.0533
6,control,10,0.378592,-1.676,0.8375,0.05,0.0611
6,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
6,oea_rag_only,1,0.035437,-2.0331,0.8375,0.05,0.152
6,oea_rag_only,2,0.062689,-2.1957,0.8875,0.075,0.1254
6,oea_rag_only,3,0.086061,-1.9899,0.9,0.1,0.098
6,oea_rag_only,4,0.107773,-1.9837,0.85,0.0625,0.0666
6,oea_rag_only,5,0.153206,-2.1759,0.8375,0.0625,0.0572
6,oea_rag_only,6,0.216917,-2.0622,0.85,0.1125,0.0549
6,oea_rag_only,7,0.268038,-1.927,0.8125,0.05,0.0502
6,oea_rag_only,8,0.325567,-1.7171,0.8875,0.0875,0.0486
6,oea_rag_only,9,0.356432,-1.7124,0.9125,0.1125,0.0517
6,oea_rag_only,10,0.364408,-1.8705,0.85,0.0875,0.0533
6,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
6,oea_anchored,1,0.00648,-2.4021,0.4375,0.0,0.1654
6,oea_anchored,2,0.030436,-2.2508,0.9,0.05,0.134
6,oea_anchored,3,0.056601,-1.7446,0.8125,0.075,0.1027
6,oea_anchored,4,0.081087,-1.3353,0.7875,0.075,0.069
6,oea_anchored,5,0.113946,-0.661,0.875,0.075,0.0478
6,oea_anchored,6,0.18495,-0.5393,0.8625,0.05,0.0478
6,oea_anchored,7,0.261327,-0.3946,0.85,0.0375,0.0455
6,oea_anchored,8,0.345986,-0.3931,0.875,0.1,0.0455
6,oea_anchored,9,0.433446,-0.4042,0.8,0.05,0.0455
6,oea_anchored,10,0.458791,-0.4014,0.7875,0.075,0.0447
6,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
6,oea_miscalibrated,1,0.035437,-2.0331,0.8375,0.05,0.152
6,oea_miscalibrated,2,0.062689,-2.1957,0.8875,0.075,0.1254
6,oea_miscalibrated,3,0.085726,-1.9899,0.7625,0.125,0.1003
6,oea_miscalibrated,4,0.105514,-2.0004,0.85,0.0625,0.0619
6,oea_miscalibrated,5,0.108196,-2.2271,0.125,0.05,0.0556
6,oea_miscalibrated,6,0.114203,-2.223,0.125,0.0,0.0572
6,oea_miscalibrated,7,0.170621,-2.1605,0.85,0.0375,0.0564
6,oea_miscalibrated,8,0.220762,-2.25,0.8875,0.075,0.0517
6,oea_miscalibrated,9,0.282716,-2.3003,0.825,0.0875,0.0556
6,oea_miscalibrated,10,0.299693,-2.3234,0.15,0.0125,0.0549
7,control,0,0.0,-1.5864,0.6875,0.025,0.1755
7,control,1,0.030998,-1.9649,0.9,0.0875,0.1528
