seed,variant,iteration,stability,mean_log_prob,stability_jsd,true_reject_rate,false_reject_rate
1,rag_only,10,0.201828,-4.968316,0.401625,0.59008,0.23424
2,oea_full,0,0.930178,-5.95134,0.469914,0.74632,0.14496
2,oea_full,1,0.147855,-5.978933,0.512146,0.74632,0.14496
2,oea_full,2,0.15,-5.98416,0.475707,0.74632,0.14496
2,oea_full,3,0.097855,-5.973588,0.518407,0.74632,0.14496
2,oea_full,4,0.180178,-6.04988,0.486334,0.74632,0.14496
2,oea_full,5,0.125,-5.948962,0.510883,0.74632,0.14496
2,oea_full,6,0.168566,-5.956657,0.454648,0.74632,0.14496
2,oea_full,7,0.147855,-5.997788,0.486972,0.74632,0.14496
2,oea_full,8,0.178033,-6.061609,0.483758,0.74632,0.14496
2,oea_full,9,0.208211,-6.002237,0.488229,0.74632,0.14496
2,oea_full,10,0.130178,-6.057962,0.498448,0.74632,0.14496
2,temperature_low,0,0.930178,-5.95134,0.469914,0.6052,0.2256
2,temperature_low,1,0.227717,-5.382494,0.435007,0.6052,0.2256
2,temperature_low,2,0.182812,-4.973693,0.419399,0.6052,0.2256
2,temperature_low,3,0.195711,-5.268275,0.422639,0.6052,0.2256
2,temperature_low,4,0.224684,-5.242169,0.411524,0.6052,0.2256
2,temperature_low,5,0.215533,-5.231856,0.44634,0.6052,0.2256
2,temperature_low,6,0.163306,-5.140402,0.407404,0.6052,0.2256
2,temperature_low,7,0.155178,-5.095882,0.420752,0.6052,0.2256
2,temperature_low,8,0.204861,-5.070596,0.417181,0.6052,0.2256
2,temperature_low,9,0.227634,-5.196684,0.422224,0.6052,0.2256
2,temperature_low,10,0.241421,-5.126992,0.38912,0.6052,0.2256
2,top_k,0,0.930178,-5.95134,0.469914,0.6052,0.2256
2,top_k,1,0.167678,-6.123183,0.524451,0.6052,0.2256
2,top_k,2,0.117678,-5.97919,0.516938,0.6052,0.2256
2,top_k,3,0.198744,-6.09059,0.52692,0.6052,0.2256
2,top_k,4,0.103033,-5.949624,0.500259,0.6052,0.2256
2,top_k,5,0.092678,-6.022164,0.487841,0.6052,0.2256
2,top_k,6,0.1125,-6.062077,0.521543,0.6052,0.2256
2,top_k,7,0.199684,-5.913381,0.464506,0.6052,0.2256
2,top_k,8,0.1625,-5.985377,0.487154,0.6052,0.2256
2,top_k,9,0.097855,-5.973588,0.519837,0.6052,0.2256
2,top_k,10,0.187184,-5.976533,0.485875,0.6052,0.2256
