seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
3,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
3,oea_rag_only,1,0.028038,-3.142,0.45,0.025,0.1489
3,oea_rag_only,2,0.054754,-2.6849,0.625,0.05,0.123
3,oea_rag_only,3,0.081494,-1.8448,0.275,0.0375,0.0925
3,oea_rag_only,4,0.107752,-1.0572,0.6625,0.05,0.058
3,oea_rag_only,5,0.165474,-0.524,0.6875,0.0625,0.047
3,oea_rag_only,6,0.244355,-0.1809,0.55,0.0625,0.0376
3,oea_rag_only,7,0.325851,-0.1388,0.6125,0.0375,0.0376
3,oea_rag_only,8,0.418504,-0.1487,0.4125,0.0125,0.0376
3,oea_rag_only,9,0.482292,-0.1364,0.6,0.075,0.0376
3,oea_rag_only,10,0.523169,-0.1261,0.275,0.0375,0.0376
3,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
3,oea_anchored,1,0.010403,-3.4587,0.425,0.025,0.1583
3,oea_anchored,2,0.030365,-2.9492,0.5875,0.0625,0.1371
3,oea_anchored,3,0.054921,-2.1561,0.525,0.0375,0.1136
3,oea_anchored,4,0.078296,-1.3019,0.65,0.0625,0.0854
3,oea_anchored,5,0.11321,-0.709,0.6625,0.0375,0.0658
3,oea_anchored,6,0.184189,-0.2366,0.6625,0.0375,0.0619
3,oea_anchored,7,0.264357,-0.2131,0.4125,0.0125,0.0619
3,oea_anchored,8,0.353338,-0.2276,0.65,0.0625,0.0627
3,oea_anchored,9,0.429477,-0.2062,0.5875,0.0625,0.0619
3,oea_anchored,10,0.466448,-0.3216,0.5875,0.05,0.0611
3,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
3,oea_miscalibrated,1,0.039152,-3.2084,0.575,0.0125,0.1458
3,oea_miscalibrated,2,0.063376,-2.9678,0.5875,0.05,0.1191
3,oea_miscalibrated,3,0.089268,-2.6946,0.4875,0.05,0.0878
3,oea_miscalibrated,4,0.10964,-2.4602,0.6125,0.0375,0.0588
3,oea_miscalibrated,5,0.154942,-2.5746,0.525,0.0625,0.0556
3,oea_miscalibrated,6,0.222443,-2.5452,0.5125,0.05,0.0588
3,oea_miscalibrated,7,0.285897,-2.5255,0.55,0.0625,0.0603
3,oea_miscalibrated,8,0.347862,-2.489,0.475,0.0375,0.0635
3,oea_miscalibrated,9,0.379606,-2.3416,0.5625,0.025,0.0643
3,oea_miscalibrated,10,0.376915,-2.5042,0.5625,0.025,0.0635
4,control,0,0.0,-3.3608,0.525,0.125,0.1661
4,control,1,0.036367,-3.2344,0.5375,0.0375,0.1403
