seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
8,control,2,0.065481,-2.9942,0.7,0.075
8,control,3,0.087055,-2.5786,0.2625,0.0125
8,control,4,0.104995,-2.1822,0.55,0.075
8,control,5,0.153211,-2.0823,0.4125,0.025
8,control,6,0.218069,-2.1014,0.75,0.0625
8,control,7,0.286694,-1.9124,0.6125,0.1
8,control,8,0.34824,-1.8374,0.55,0.0625
8,control,9,0.351092,-1.8261,0.1,0.025
8,control,10,0.358232,-2.1272,0.575,0.0125
8,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
8,oea_rag_only,1,0.037418,-3.3367,0.625,0.0375
8,oea_rag_only,2,0.070974,-3.0662,0.625,0.05
8,oea_rag_only,3,0.102733,-2.2271,0.45,0.0375
8,oea_rag_only,4,0.132156,-1.355,0.4875,0.0625
8,oea_rag_only,5,0.194232,-0.8759,0.5125,0.05
8,oea_rag_only,6,0.279306,-0.6148,0.325,0.025
8,oea_rag_only,7,0.369294,-0.3131,0.35,0.025
8,oea_rag_only,8,0.462367,-0.2983,0.35,0.025
8,oea_rag_only,9,0.531557,-0.3019,0.35,0.025
8,oea_rag_only,10,0.582276,-0.2128,0.35,0.025
8,oea_anchored,0,0.0,-3.7085,0.625,0.0625
8,oea_anchored,1,0.007141,-3.8983,0.7875,0.05
8,oea_anchored,2,0.017547,-3.7299,0.6125,0.0625
8,oea_anchored,3,0.034326,-3.2238,0.3375,0.0125
8,oea_anchored,4,0.058423,-2.3116,0.1375,0.0
8,oea_anchored,5,0.081975,-1.4465,0.1375,0.0
8,oea_anchored,6,0.138848,-0.7004,0.1375,0.0
8,oea_anchored,7,0.213513,-0.1909,0.1375,0.0
8,oea_anchored,8,0.296355,-0.1718,0.1375,0.0
8,oea_anchored,9,0.380158,-0.1718,0.1375,0.0
8,oea_anchored,10,0.438594,-0.1718,0.1375,0.0
8,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
8,oea_miscalibrated,1,0.036835,-3.5641,0.525,0.0625
8,oea_miscalibrated,2,0.069063,-3.2344,0.4125,0.0375
8,oea_miscalibrated,3,0.097669,-2.9053,0.575,0.05
8,oea_miscalibrated,4,0.122324,-2.5525,0.4625,0.05
8,oea_miscalibrated,5,0.170926,-2.3464,0.4875,0.075
8,oea_miscalibrated,6,0.230192,-2.4137,0.5625,0.025
8,oea_miscalibrated,7,0.289248,-2.2812,0.6875,0.075
8,oea_miscalibrated,8,0.350623,-2.2642,0.5625,0.0375
8,oea_miscalibrated,9,0.390931,-2.2051,0.5125,0.025
8,oea_miscalibrated,10,0.398123,-2.2788,0.5,0.075
9,control,0,0.0,-3.7085,0.625,0.0625
9,control,1,0.031838,-3.4108,0.5125,0.05
9,control,2,0.049602,-2.9887,0.6125,0.05
9,control,3,0.074008,-2.5634,0.5625,0.0375
9,control,4,0.083771,-2.2289,0.775,0.0625
9,control,5,0.124526,-2.1048,0.7875,0.075
9,control,6,0.176779,-2.1617,0.525,0.0375
9,control,7,0.231735,-2.1057,0.725,0.075
9,control,8,0.28412,-2.0466,0.8375,0.05
9,control,9,0.314626,-2.0631,0.7875,0.0625
9,control,10,0.338287,-2.0614,0.3625,0.025
9,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
9,oea_rag_only,1,0.017854,-3.4163,0.525,0.025
9,oea_rag_only,2,0.044747,-3.114,0.7,0.0625
9,oea_rag_only,3,0.067128,-2.6645,0.3125,0.0
9,oea_rag_only,4,0.084418,-2.3933,0.775,0.05
9,oea_rag_only,5,0.126671,-2.1348,0.325,0.0
9,oea_rag_only,6,0.174753,-1.8742,0.625,0.05
9,oea_rag_only,7,0.235241,-2.0014,0.675,0.0625
9,oea_rag_only,8,0.282001,-2.0658,0.425,0.0625
9,oea_rag_only,9,0.312949,-2.1233,0.175,0.0
9,oea_rag_only,10,0.343361,-2.2402,0.4125,0.0375
9,oea_anchored,0,0.0,-3.7085,0.625,0.0625
9,oea_anchored,1,0.008605,-3.7875,0.6875,0.0375
9,oea_anchored,2,0.021786,-3.3276,0.725,0.0375
9,oea_anchored,3,0.049763,-2.5464,0.7125,0.05
9,oea_anchored,4,0.078096,-1.6201,0.575,0.0375
9,oea_anchored,5,0.106092,-0.8068,0.6125,0.025
9,oea_anchored,6,0.179814,-0.25,0.6125,0.0375
9,oea_anchored,7,0.264618,-0.1844,0.675,0.05
9,oea_anchored,8,0.349556,-0.201,0.65,0.05
9,oea_anchored,9,0.432805,-0.2,0.6875,0.05
9,oea_anchored,10,0.505527,-0.2026,0.675,0.05
9,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
9,oea_miscalibrated,1,0.02945,-3.4656,0.5375,0.0625
9,oea_miscalibrated,2,0.044055,-3.223,0.1,0.025
9,oea_miscalibrated,3,0.075696,-2.9771,0.5875,0.0625
9,oea_miscalibrated,4,0.09556,-2.4705,0.4125,0.1
9,oea_miscalibrated,5,0.124078,-2.4166,0.525,0.075
9,oea_miscalibrated,6,0.181106,-2.5019,0.6625,0.0375
9,oea_miscalibrated,7,0.197287,-2.4943,0.1,0.025
9,oea_miscalibrated,8,0.264179,-2.5709,0.4375,0.1125
9,oea_miscalibrated,9,0.326657,-2.496,0.5625,0.0625
9,oea_miscalibrated,10,0.36088,-2.5674,0.6625,0.05
