seed,variant,step,entity_retention,semantic_drift,hallucination_proxy,vocab_collapse
3,uncontrolled,17,0.162047,0.486639,0.0,0.95
3,uncontrolled,18,0.15565,0.529092,0.0,0.9125
3,uncontrolled,19,0.157783,0.479579,0.0,0.925
3,uncontrolled,20,0.157783,0.490733,0.0,0.925
3,uncontrolled,21,0.159915,0.455873,0.0,0.9375
3,uncontrolled,22,0.159915,0.448529,0.0,0.9375
3,uncontrolled,23,0.164179,0.499075,0.0,0.9625
3,uncontrolled,24,0.151386,0.535557,0.0,0.8875
3,uncontrolled,25,0.162047,0.493283,0.0,0.95
3,uncontrolled,26,0.166311,0.532852,0.0,0.975
3,uncontrolled,27,0.153518,0.50271,0.0,0.9
3,uncontrolled,28,0.15565,0.47797,0.0,0.9125
3,uncontrolled,29,0.15565,0.512453,0.0,0.9125
3,uncontrolled,30,0.157783,0.521366,0.0,0.925
3,oea_controlled,0,0.149254,0.486495,0.0,0.875
3,oea_controlled,1,0.157783,0.499739,0.0,0.925
3,oea_controlled,2,0.15565,0.481394,0.0,0.9125
3,oea_controlled,3,0.159915,0.466518,0.0,0.9375
3,oea_controlled,4,0.15565,0.47579,0.0,0.9125
3,oea_controlled,5,0.159915,0.480094,0.0,0.9375
3,oea_controlled,6,0.153518,0.500012,0.0,0.9
3,oea_controlled,7,0.153518,0.455424,0.0,0.9
3,oea_controlled,8,0.144989,0.495601,0.0,0.85
3,oea_controlled,9,0.151386,0.488525,0.0,0.8875
3,oea_controlled,10,0.157783,0.462726,0.0,0.925
3,oea_controlled,11,0.159915,0.500929,0.0,0.9375
3,oea_controlled,12,0.164179,0.471404,0.0,0.9625
3,oea_controlled,13,0.140725,0.486223,0.0,0.825
3,oea_controlled,14,0.153518,0.460829,0.0,0.9
3,oea_controlled,15,0.162047,0.475,0.0,0.95
3,oea_controlled,16,0.157783,0.470742,0.0,0.925
3,oea_controlled,17,0.15565,0.470537,0.0,0.9125
3,oea_controlled,18,0.157783,0.508154,0.0,0.925
3,oea_controlled,19,0.166311,0.462811,0.0,0.975
3,oea_controlled,20,0.157783,0.4461,0.0,0.925
3,oea_controlled,21,0.153518,0.467968,0.0,0.9
3,oea_controlled,22,0.15565,0.483868,0.0,0.9125
3,oea_controlled,23,0.157783,0.43666,0.0,0.925
3,oea_controlled,24,0.157783,0.481887,0.0,0.925
3,oea_controlled,25,0.159915,0.478915,0.0,0.9375
3,oea_controlled,26,0.159915,0.495426,0.0,0.9375
3,oea_controlled,27,0.157783,0.511177,0.0,0.925
3,oea_controlled,28,0.159915,0.460229,0.0,0.9375
3,oea_controlled,29,0.157783,0.513879,0.0,0.925
3,oea_controlled,30,0.147122,0.485425,0.0,0.8625
4,uncontrolled,0,0.149254,0.516745,0.0,0.875
4,uncontrolled,1,0.164179,0.469273,0.0,0.9625
4,uncontrolled,2,0.159915,0.473258,0.0,0.9375
4,uncontrolled,3,0.153518,0.528357,0.0,0.9
4,uncontrolled,4,0.159915,0.506274,0.0,0.9375
4,uncontrolled,5,0.157783,0.514237,0.0,0.925
4,uncontrolled,6,0.149254,0.463043,0.0,0.875
4,uncontrolled,7,0.151386,0.451445,0.0,0.8875
4,uncontrolled,8,0.142857,0.503615,0.0,0.8375
4,uncontrolled,9,0.170576,0.49829,0.0,1.0
4,uncontrolled,10,0.151386,0.515775,0.0,0.8875
4,uncontrolled,11,0.157783,0.508874,0.0,0.925
4,uncontrolled,12,0.147122,0.512962,0.0,0.8625
4,uncontrolled,13,0.162047,0.501752,0.0,0.95
4,uncontrolled,14,0.153518,0.463183,0.0,0.9
4,uncontrolled,15,0.157783,0.51778,0.0,0.925
4,uncontrolled,16,0.164179,0.496247,0.0,0.9625
4,uncontrolled,17,0.157783,0.496289,0.0,0.925
4,uncontrolled,18,0.157783,0.484404,0.0,0.925
4,uncontrolled,19,0.168443,0.473273,0.0,0.9875
4,uncontrolled,20,0.15565,0.513034,0.0,0.9125
4,uncontrolled,21,0.168443,0.493828,0.0,0.9875
4,uncontrolled,22,0.149254,0.511853,0.0,0.875
4,uncontrolled,23,0.15565,0.493951,0.0,0.9125
4,uncontrolled,24,0.15565,0.460274,0.0,0.9125
4,uncontrolled,25,0.153518,0.507933,0.0,0.9
4,uncontrolled,26,0.157783,0.491098,0.0,0.925
4,uncontrolled,27,0.153518,0.471517,0.0,0.9
4,uncontrolled,28,0.153518,0.517424,0.0,0.9
4,uncontrolled,29,0.153518,0.479967,0.0,0.9
4,uncontrolled,30,0.166311,0.499078,0.0,0.975
4,oea_controlled,0,0.157783,0.506956,0.0,0.925
4,oea_controlled,1,0.144989,0.508071,0.0,0.85
4,oea_controlled,2,0.15565,0.474051,0.0,0.9125
4,oea_controlled,3,0.159915,0.470187,0.0,0.9375
4,oea_controlled,4,0.159915,0.474326,0.0,0.9375
4,oea_controlled,5,0.157783,0.49926,0.0,0.925
4,oea_controlled,6,0.15565,0.461068,0.0,0.9125
4,oea_controlled,7,0.15565,0.430506,0.0,0.9125
4,oea_controlled,8,0.159915,0.506506,0.0,0.9375
4,oea_controlled,9,0.157783,0.511942,0.0,0.925
4,oea_controlled,10,0.15565,0.496741,0.0,0.9125
4,oea_controlled,11,0.157783,0.470216,0.0,0.925
4,oea_controlled,12,0.157783,0.469214,0.0,0.925
4,oea_controlled,13,0.153518,0.480587,0.0,0.9
4,oea_controlled,14,0.166311,0.48213,0.0,0.975
4,oea_controlled,15,0.162047,0.511741,0.0,0.95
4,oea_controlled,16,0.159915,0.469187,0.0,0.9375
4,oea_controlled,17,0.159915,0.466203,0.0,0.9375
4,oea_controlled,18,0.162047,0.435425,0.0,0.95
4,oea_controlled,19,0.159915,0.480028,0.0,0.9375
4,oea_controlled,20,0.157783,0.468636,0.0,0.925
4,oea_controlled,21,0.15565,0.457155,0.0,0.9125
4,oea_controlled,22,0.149254,0.458556,0.0,0.875
4,oea_controlled,23,0.162047,0.50825,0.0,0.95
4,oea_controlled,24,0.157783,0.459075,0.0,0.925
4,oea_controlled,25,0.15565,0.504618,0.0,0.9125
4,oea_controlled,26,0.157783,0.46735,0.0,0.925
4,oea_controlled,27,0.162047,0.486842,0.0,0.95
4,oea_controlled,28,0.157783,0.471483,0.0,0.925
4,oea_controlled,29,0.157783,0.473772,0.0,0.925
4,oea_controlled,30,0.157783,0.474467,0.0,0.925
5,uncontrolled,0,0.164179,0.481823,0.0,0.9625
5,uncontrolled,1,0.157783,0.502694,0.0,0.925
5,uncontrolled,2,0.159915,0.48613,0.0,0.9375
5,uncontrolled,3,0.153518,0.50831,0.0,0.9
5,uncontrolled,4,0.151386,0.462326,0.0,0.8875
5,uncontrolled,5,0.159915,0.526958,0.0,0.9375
5,uncontrolled,6,0.159915,0.474867,0.0,0.9375
5,uncontrolled,7,0.157783,0.461421,0.0,0.925
5,uncontrolled,8,0.162047,0.466732,0.0,0.95
5,uncontrolled,9,0.157783,0.503567,0.0,0.925
5,uncontrolled,10,0.166311,0.473017,0.0,0.975
5,uncontrolled,11,0.149254,0.508099,0.0,0.875
5,uncontrolled,12,0.157783,0.478847,0.0,0.925
5,uncontrolled,13,0.15565,0.472222,0.0,0.9125
5,uncontrolled,14,0.164179,0.489027,0.0,0.9625
5,uncontrolled,15,0.15565,0.466919,0.0,0.9125
5,uncontrolled,16,0.157783,0.496684,0.0,0.925
5,uncontrolled,17,0.162047,0.473334,0.0,0.95
5,uncontrolled,18,0.157783,0.509613,0.0,0.925
5,uncontrolled,19,0.149254,0.470654,0.0,0.875
5,uncontrolled,20,0.162047,0.504227,0.0,0.95
5,uncontrolled,21,0.15565,0.505733,0.0,0.9125
5,uncontrolled,22,0.157783,0.510315,0.0,0.925
5,uncontrolled,23,0.157783,0.456312,0.0,0.925
5,uncontrolled,24,0.159915,0.502112,0.0,0.9375
5,uncontrolled,25,0.157783,0.497671,0.0,0.925
5,uncontrolled,26,0.15565,0.503104,0.0,0.9125
5,uncontrolled,27,0.149254,0.492525,0.0,0.875
5,uncontrolled,28,0.159915,0.515474,0.0,0.9375
5,uncontrolled,29,0.151386,0.503144,0.0,0.8875
5,uncontrolled,30,0.153518,0.492818,0.0,0.9
5,oea_controlled,0,0.166311,0.508999,0.0,0.975
5,oea_controlled,1,0.15565,0.456199,0.0,0.9125
5,oea_controlled,2,0.157783,0.499372,0.0,0.925
5,oea_controlled,3,0.159915,0.45551,0.0,0.9375
5,oea_controlled,4,0.153518,0.461569,0.0,0.9
5,oea_controlled,5,0.162047,0.473272,0.0,0.95
5,oea_controlled,6,0.164179,0.468829,0.0,0.9625
5,oea_controlled,7,0.164179,0.484527,0.0,0.9625
5,oea_controlled,8,0.15565,0.503994,0.0,0.9125
5,oea_controlled,9,0.151386,0.454234,0.0,0.8875
5,oea_controlled,10,0.153518,0.460607,0.0,0.9
5,oea_controlled,11,0.162047,0.477062,0.0,0.95
5,oea_controlled,12,0.157783,0.493097,0.0,0.925
5,oea_controlled,13,0.166311,0.460576,0.0,0.975
5,oea_controlled,14,0.15565,0.490508,0.0,0.9125
5,oea_controlled,15,0.162047,0.461725,0.0,0.95
5,oea_controlled,16,0.162047,0.446835,0.0,0.95
5,oea_controlled,17,0.157783,0.483388,0.0,0.925
5,oea_controlled,18,0.15565,0.49747,0.0,0.9125
5,oea_controlled,19,0.157783,0.508304,0.0,0.925
5,oea_controlled,20,0.151386,0.477876,0.0,0.8875
5,oea_controlled,21,0.164179,0.454344,0.0,0.9625
5,oea_controlled,22,0.157783,0.466848,0.0,0.925
5,oea_controlled,23,0.15565,0.467975,0.0,0.9125
5,oea_controlled,24,0.157783,0.485142,0.0,0.925
5,oea_controlled,25,0.162047,0.484429,0.0,0.95
5,oea_controlled,26,0.166311,0.491431,0.0,0.975
5,oea_controlled,27,0.162047,0.501194,0.0,0.95
5,oea_controlled,28,0.157783,0.466756,0.0,0.925
5,oea_controlled,29,0.157783,0.459779,0.0,0.925
5,oea_controlled,30,0.157783,0.499161,0.0,0.925
6,uncontrolled,0,0.166311,0.467844,0.0,0.975
6,uncontrolled,1,0.157783,0.476882,0.0,0.925
6,uncontrolled,2,0.147122,0.484951,0.0,0.8625
6,uncontrolled,3,0.153518,0.509175,0.0,0.9
6,uncontrolled,4,0.153518,0.492521,0.0,0.9
6,uncontrolled,5,0.157783,0.536695,0.0,0.925
6,uncontrolled,6,0.153518,0.516684,0.0,0.9
6,uncontrolled,7,0.159915,0.471435,0.0,0.9375
6,uncontrolled,8,0.151386,0.480939,0.0,0.8875
6,uncontrolled,9,0.147122,0.517197,0.0,0.8625
6,uncontrolled,10,0.157783,0.513961,0.0,0.925
6,uncontrolled,11,0.157783,0.512485,0.0,0.925
6,uncontrolled,12,0.164179,0.454959,0.0,0.9625
6,uncontrolled,13,0.15565,0.498066,0.0,0.9125
6,uncontrolled,14,0.159915,0.478009,0.0,0.9375
6,uncontrolled,15,0.15565,0.48713,0.0,0.9125
6,uncontrolled,16,0.157783,0.498633,0.0,0.925
6,uncontrolled,17,0.157783,0.47272,0.0,0.925
6,uncontrolled,18,0.15565,0.508521,0.0,0.9125
6,uncontrolled,19,0.162047,0.484521,0.0,0.95
6,uncontrolled,20,0.15565,0.503637,0.0,0.9125
6,uncontrolled,21,0.157783,0.498319,0.0,0.925
6,uncontrolled,22,0.162047,0.505737,0.0,0.95
6,uncontrolled,23,0.153518,0.495999,0.0,0.9
6,uncontrolled,24,0.153518,0.519641,0.0,0.9
6,uncontrolled,25,0.149254,0.501723,0.0,0.875
6,uncontrolled,26,0.153518,0.510813,0.0,0.9
6,uncontrolled,27,0.151386,0.497228,0.0,0.8875
6,uncontrolled,28,0.159915,0.480703,0.0,0.9375
6,uncontrolled,29,0.149254,0.510779,0.0,0.875
6,uncontrolled,30,0.157783,0.476107,0.0,0.925
6,oea_controlled,0,0.149254,0.462862,0.0,0.875
6,oea_controlled,1,0.153518,0.485224,0.0,0.9
6,oea_controlled,2,0.153518,0.506123,0.0,0.9
6,oea_controlled,3,0.162047,0.485851,0.0,0.95
6,oea_controlled,4,0.15565,0.488335,0.0,0.9125
6,oea_controlled,5,0.157783,0.465606,0.0,0.925
6,oea_controlled,6,0.153518,0.458634,0.0,0.9
6,oea_controlled,7,0.153518,0.455502,0.0,0.9
6,oea_controlled,8,0.149254,0.493859,0.0,0.875
6,oea_controlled,9,0.159915,0.478943,0.0,0.9375
6,oea_controlled,10,0.153518,0.447065,0.0,0.9
6,oea_controlled,11,0.153518,0.482206,0.0,0.9
6,oea_controlled,12,0.15565,0.499455,0.0,0.9125
6,oea_controlled,13,0.15565,0.483658,0.0,0.9125
6,oea_controlled,14,0.159915,0.468269,0.0,0.9375
6,oea_controlled,15,0.157783,0.469775,0.0,0.925
6,oea_controlled,16,0.164179,0.455974,0.0,0.9625
6,oea_controlled,17,0.159915,0.481529,0.0,0.9375
6,oea_controlled,18,0.159915,0.49288,0.0,0.9375
6,oea_controlled,19,0.153518,0.484873,0.0,0.9
6,oea_controlled,20,0.159915,0.505956,0.0,0.9375
6,oea_controlled,21,0.149254,0.493874,0.0,0.875
6,oea_controlled,22,0.157783,0.496508,0.0,0.925
6,oea_controlled,23,0.157783,0.505315,0.0,0.925
6,oea_controlled,24,0.151386,0.540407,0.0,0.8875
6,oea_controlled,25,0.162047,0.480603,0.0,0.95
6,oea_controlled,26,0.15565,0.489204,0.0,0.9125
6,oea_controlled,27,0.162047,0.490352,0.0,0.95
6,oea_controlled,28,0.162047,0.475532,0.0,0.95
6,oea_controlled,29,0.15565,0.486707,0.0,0.9125
6,oea_controlled,30,0.151386,0.468232,0.0,0.8875
7,uncontrolled,0,0.157783,0.47314,0.0,0.925
7,uncontrolled,1,0.153518,0.507086,0.0,0.9
7,uncontrolled,2,0.15565,0.51796,0.0,0.9125
7,uncontrolled,3,0.157783,0.499928,0.0,0.925
7,uncontrolled,4,0.162047,0.493133,0.0,0.95
7,uncontrolled,5,0.151386,0.491019,0.0,0.8875
7,uncontrolled,6,0.159915,0.506981,0.0,0.9375
7,uncontrolled,7,0.15565,0.500597,0.0,0.9125
7,uncontrolled,8,0.164179,0.472453,0.0,0.9625
7,uncontrolled,9,0.159915,0.522434,0.0,0.9375
7,uncontrolled,10,0.15565,0.509413,0.0,0.9125
7,uncontrolled,11,0.15565,0.498468,0.0,0.9125
7,uncontrolled,12,0.159915,0.51693,0.0,0.9375
7,uncontrolled,13,0.151386,0.519567,0.0,0.8875
7,uncontrolled,14,0.159915,0.48985,0.0,0.9375
7,uncontrolled,15,0.164179,0.481737,0.0,0.9625
7,uncontrolled,16,0.159915,0.47991,0.0,0.9375
7,uncontrolled,17,0.151386,0.508325,0.0,0.8875
7,uncontrolled,18,0.157783,0.500949,0.0,0.925
7,uncontrolled,19,0.153518,0.496953,0.0,0.9
7,uncontrolled,20,0.157783,0.43975,0.0,0.925
7,uncontrolled,21,0.164179,0.46025,0.0,0.9625
7,uncontrolled,22,0.15565,0.526952,0.0,0.9125
7,uncontrolled,23,0.151386,0.487693,0.0,0.8875
7,uncontrolled,24,0.164179,0.500486,0.0,0.9625
7,uncontrolled,25,0.149254,0.505128,0.0,0.875
7,uncontrolled,26,0.162047,0.478855,0.0,0.95
7,uncontrolled,27,0.151386,0.486875,0.0,0.8875
7,uncontrolled,28,0.164179,0.490943,0.0,0.9625
7,uncontrolled,29,0.159915,0.507862,0.0,0.9375
7,uncontrolled,30,0.15565,0.515648,0.0,0.9125
7,oea_controlled,0,0.153518,0.446143,0.0,0.9
7,oea_controlled,1,0.159915,0.459756,0.0,0.9375
7,oea_controlled,2,0.147122,0.465173,0.0,0.8625
7,oea_controlled,3,0.157783,0.463147,0.0,0.925
7,oea_controlled,4,0.144989,0.515124,0.0,0.85
7,oea_controlled,5,0.157783,0.503572,0.0,0.925
