seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
4,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
4,oea_miscalibrated,1,0.024983,-3.1641,0.2625,0.025
4,oea_miscalibrated,2,0.04775,-2.957,0.5875,0.05
4,oea_miscalibrated,3,0.069992,-2.5505,0.4625,0.075
4,oea_miscalibrated,4,0.091767,-2.2923,0.75,0.05
4,oea_miscalibrated,5,0.130037,-2.4201,0.6375,0.0375
4,oea_miscalibrated,6,0.178134,-2.4888,0.4875,0.05
4,oea_miscalibrated,7,0.231747,-2.4936,0.35,0.025
4,oea_miscalibrated,8,0.280005,-2.5356,0.8375,0.0625
4,oea_miscalibrated,9,0.314781,-2.5676,0.35,0.1
4,oea_miscalibrated,10,0.340245,-2.6114,0.6625,0.05
5,control,0,0.0,-3.3591,0.65,0.05
5,control,1,0.038695,-3.2285,0.675,0.1
5,control,2,0.066508,-3.0893,0.7625,0.075
5,control,3,0.088396,-2.7208,0.325,0.0375
5,control,4,0.107355,-2.3148,0.5625,0.025
5,control,5,0.151651,-2.2167,0.3125,0.025
5,control,6,0.217742,-1.894,0.5625,0.0375
5,control,7,0.280423,-1.8487,0.55,0.0375
5,control,8,0.342497,-1.886,0.4625,0.075
5,control,9,0.376624,-1.7326,0.3875,0.05
5,control,10,0.395373,-1.876,0.475,0.1
5,oea_rag_only,0,0.0,-3.3591,0.65,0.05
5,oea_rag_only,1,0.027657,-3.1609,0.675,0.1
5,oea_rag_only,2,0.055598,-2.9608,0.6875,0.0625
5,oea_rag_only,3,0.080895,-2.6499,0.725,0.025
5,oea_rag_only,4,0.100799,-2.3538,0.6875,0.05
5,oea_rag_only,5,0.14533,-2.3349,0.6625,0.0375
5,oea_rag_only,6,0.202315,-2.3412,0.65,0.05
5,oea_rag_only,7,0.267834,-2.3562,0.6375,0.075
5,oea_rag_only,8,0.320056,-2.4965,0.6,0.05
5,oea_rag_only,9,0.346691,-2.4741,0.7,0.0875
5,oea_rag_only,10,0.364254,-2.4748,0.7,0.0625
5,oea_anchored,0,0.0,-3.3591,0.65,0.05
5,oea_anchored,1,0.007136,-3.5902,0.8375,0.025
5,oea_anchored,2,0.015467,-3.5108,0.5,0.0375
5,oea_anchored,3,0.0246,-3.5371,0.85,0.025
5,oea_anchored,4,0.041822,-2.8058,0.5625,0.05
5,oea_anchored,5,0.06002,-2.1042,0.3625,0.05
5,oea_anchored,6,0.104948,-1.3627,0.275,0.025
5,oea_anchored,7,0.169808,-0.5177,0.175,0.0
5,oea_anchored,8,0.249378,-0.3543,0.175,0.0
5,oea_anchored,9,0.326847,-0.2697,0.175,0.0
5,oea_anchored,10,0.389497,-0.0673,0.175,0.0
5,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
5,oea_miscalibrated,1,0.027995,-3.1753,0.55,0.1125
5,oea_miscalibrated,2,0.057016,-3.0578,0.575,0.075
5,oea_miscalibrated,3,0.077252,-2.7101,0.6625,0.0375
5,oea_miscalibrated,4,0.09471,-2.5949,0.6375,0.0875
5,oea_miscalibrated,5,0.141296,-2.6313,0.7,0.05
5,oea_miscalibrated,6,0.194323,-2.5334,0.825,0.025
5,oea_miscalibrated,7,0.254135,-2.504,0.7125,0.075
5,oea_miscalibrated,8,0.308625,-2.4687,0.7125,0.05
5,oea_miscalibrated,9,0.341057,-2.58,0.725,0.05
5,oea_miscalibrated,10,0.346747,-2.7293,0.4875,0.0375
6,control,0,0.0,-3.3591,0.65,0.05
6,control,1,0.034427,-3.0659,0.6625,0.0625
6,control,2,0.062475,-2.7943,0.7125,0.1125
6,control,3,0.09079,-2.3615,0.625,0.0875
6,control,4,0.111027,-2.0618,0.7375,0.0625
6,control,5,0.15858,-2.0674,0.4875,0.0625
6,control,6,0.218456,-2.0304,0.6375,0.075
6,control,7,0.281029,-1.9897,0.7125,0.025
6,control,8,0.33717,-1.9528,0.65,0.075
6,control,9,0.366381,-1.7369,0.7,0.05
6,control,10,0.359939,-1.8788,0.7125,0.05
6,oea_rag_only,0,0.0,-3.3591,0.65,0.05
6,oea_rag_only,1,0.035045,-3.2194,0.7,0.05
6,oea_rag_only,2,0.055737,-3.1211,0.5125,0.0625
6,oea_rag_only,3,0.073762,-2.8804,0.8125,0.05
6,oea_rag_only,4,0.090422,-2.5982,0.6875,0.05
6,oea_rag_only,5,0.132975,-2.0835,0.2875,0.0
6,oea_rag_only,6,0.175917,-2.0686,0.775,0.0375
6,oea_rag_only,7,0.232023,-1.8667,0.75,0.0125
6,oea_rag_only,8,0.28983,-1.8658,0.7,0.025
6,oea_rag_only,9,0.321144,-2.0353,0.5625,0.05
6,oea_rag_only,10,0.324602,-2.178,0.5625,0.025
6,oea_anchored,0,0.0,-3.3591,0.65,0.05
6,oea_anchored,1,0.005146,-3.5949,0.8125,0.0375
6,oea_anchored,2,0.014073,-3.4695,0.875,0.0375
6,oea_anchored,3,0.036097,-2.9818,0.8125,0.05
6,oea_anchored,4,0.058519,-2.2595,0.7,0.0375
6,oea_anchored,5,0.078931,-1.6448,0.25,0.025
6,oea_anchored,6,0.129259,-0.809,0.125,0.025
6,oea_anchored,7,0.204466,-0.5369,0.15,0.025
6,oea_anchored,8,0.285208,-0.2837,0.15,0.025
6,oea_anchored,9,0.36689,-0.1618,0.1875,0.025
6,oea_anchored,10,0.453081,-0.153,0.2125,0.025
6,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
6,oea_miscalibrated,1,0.035045,-3.2194,0.7,0.05
6,oea_miscalibrated,2,0.060773,-3.1605,0.7625,0.0125
6,oea_miscalibrated,3,0.07868,-2.925,0.525,0.0625
6,oea_miscalibrated,4,0.09278,-2.7778,0.725,0.0375
6,oea_miscalibrated,5,0.126847,-2.556,0.7375,0.025
6,oea_miscalibrated,6,0.163313,-2.6496,0.75,0.0375
6,oea_miscalibrated,7,0.216697,-2.4964,0.675,0.075
6,oea_miscalibrated,8,0.266146,-2.5233,0.7375,0.025
6,oea_miscalibrated,9,0.307755,-2.5474,0.5,0.05
6,oea_miscalibrated,10,0.302179,-2.5349,0.5125,0.125
7,control,0,0.0,-3.3591,0.65,0.05
7,control,1,0.040551,-3.1342,0.7,0.075
7,control,2,0.070959,-2.8176,0.775,0.0375
7,control,3,0.097524,-2.2552,0.7125,0.05
7,control,4,0.120727,-1.8709,0.7375,0.075
7,control,5,0.170068,-1.7902,0.7625,0.0375
7,control,6,0.23703,-1.3478,0.6625,0.0375
7,control,7,0.321999,-0.9574,0.6625,0.0375
7,control,8,0.409011,-0.6359,0.6625,0.0375
7,control,9,0.46194,-0.1797,0.6625,0.0375
7,control,10,0.482643,-0.1797,0.6625,0.0375
7,oea_rag_only,0,0.0,-3.3591,0.65,0.05
7,oea_rag_only,1,0.028992,-3.071,0.8,0.0625
7,oea_rag_only,2,0.063888,-2.7897,0.3375,0.0375
7,oea_rag_only,3,0.085926,-2.3745,0.25,0.025
